Name,CASHWMaxSAT-DisjCom-S6,CASHWMaxSAT-DisjCom-S9,UWrMaxSat-SCIP,EvalMaxSAT,CASHWMaxSAT-DisjCad-S6,CASHWMaxSAT-DisjCad-S9,EvalMaxSAT-SBVA,EvalMaxSAT-SBVA-saveCores,wmaxcdcl-openwbo1200,cgss_default,cgss_abst_cg,wmaxcdcl,Pacose,PacoseMP2,Exact,VBS
rna-alignment_wt-random-same-22.rna.pre.wcnf,4.2792,3.97,0.0564,16.9223,5.6352,5.6974,8.521,8.865,1.4412,0.0183,0.0175,1.0632,0.3402,2.809,10.5558,0.0175
rna-alignment_wt-random-same-25.rna.pre.wcnf,3.8394,3.8356,0.0622,11.647,8.3237,8.3401,11.9831,11.5827,0.717,0.0188,0.0188,1.2756,0.3268,4.6796,4.4097,0.0188
setcover_wt-rail2536.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
setcover_wt-rail4284.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
setcover_wt-rail4872.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
setcover_wt-rail507.wcnf,328.813,329.416,909.629,518.173,268.896,267.691,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,267.691
setcover_wt-rail516.wcnf,188.965,181.945,486.419,240.37,213.944,213.789,429.583,429.789,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,181.945
setcover_wt-rail582.wcnf,132.343,132.078,581.156,312.972,106.837,106.605,544.789,551.132,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,106.605
spot5_wt-1405.wcsp.dir.wcnf,3337.68,FAILED,FAILED,FAILED,3420.71,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,81.8113,91.7634,FAILED,81.8113
spot5_wt-1405.wcsp.log.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,114.913,2074.48,FAILED,114.913
spot5_wt-1407.wcsp.log.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,117.353,2600.75,FAILED,117.353
spot5_wt-1502.wcsp.log.wcnf,0.092,0.0822,0.0093,2.3498,0.1158,0.1152,2.3787,2.4305,0.012,0.004,0.0043,1.024,0.0114,3.5544,0.0162,0.004
spot5_wt-1504.wcsp.dir.wcnf,2400.43,2700.84,1.1267,323.901,144.148,144.64,186.343,186.341,34.7424,0.532,0.5977,1412.98,3.0015,34.4533,14.7762,0.532
spot5_wt-29.wcsp.dir.wcnf,0.7239,0.675,0.01,1.7868,0.1106,0.1106,1.8328,1.857,0.014,0.0044,0.0048,1.8935,0.0115,3.2734,0.5134,0.0044
spot5_wt-29.wcsp.log.wcnf,0.6401,0.6122,0.0102,2.4177,0.6685,0.6666,2.4515,2.312,0.0159,0.0046,0.0052,1.3009,0.0141,3.1902,0.0387,0.0046
spot5_wt-414.wcsp.dir.wcnf,90.6183,97.4439,0.1775,189.834,12.7473,12.8028,186.87,186.555,2.1383,0.1166,0.1027,36.6181,2.0103,6.4455,20.7123,0.1027
